
Links
-----

.. csv-table::
    :header: Owner A, Item A, Owner B, Item B
    :align: center

        InputDst, GVL_Devices.GEM1_PRO_60.i_xLocal, TIID^EMxL0 (EtherCAT)^L0S3_PNL_03_EB_7 (EP2338-0002), Channel 2^Input
        InputDst, GVL_Devices.GEM1_PRO_70.i_xLocal, TIID^EMxL0 (EtherCAT)^L0S3_PNL_03_EB_9 (EP2338-0002), Channel 2^Input
        InputDst, GVL_Devices.GEM1_PTM_10.i_iPowerMon, TIID^EMxL0 (EtherCAT)^PLC_EMxL0 (EK1200)^PLC_EL_4 (EL3064), AI Standard Channel 1^Value
        InputDst, GVL_Devices.GEM1_PTM_10.i_xLSpd, TIID^EMxL0 (EtherCAT)^PLC_EMxL0 (EK1200)^PLC_EL_2 (EL1088), Channel 2^Input
        InputDst, GVL_Devices.GEM1_PTM_10.i_xR1, TIID^EMxL0 (EtherCAT)^PLC_EMxL0 (EK1200)^PLC_EL_2 (EL1088), Channel 1^Input
        InputDst, GVL_Devices.GEM1_PTM_10.i_xSTART, TIID^EMxL0 (EtherCAT)^PLC_EMxL0 (EK1200)^PLC_EL_2 (EL1088), Channel 3^Input
        InputDst, GVL_Devices.GEM1_PTM_20.i_iPowerMon, TIID^EMxL0 (EtherCAT)^PLC_EMxL0 (EK1200)^PLC_EL_4 (EL3064), AI Standard Channel 2^Value
        InputDst, GVL_Devices.GEM1_PTM_20.i_xLSpd, TIID^EMxL0 (EtherCAT)^PLC_EMxL0 (EK1200)^PLC_EL_2 (EL1088), Channel 6^Input
        InputDst, GVL_Devices.GEM1_PTM_20.i_xR1, TIID^EMxL0 (EtherCAT)^PLC_EMxL0 (EK1200)^PLC_EL_2 (EL1088), Channel 5^Input
        InputDst, GVL_Devices.GEM1_PTM_20.i_xSTART, TIID^EMxL0 (EtherCAT)^PLC_EMxL0 (EK1200)^PLC_EL_2 (EL1088), Channel 7^Input
        InputDst, GVL_Devices.GEM1_PTM_30.i_xFault, TIID^EMxL0 (EtherCAT)^PLC_EMxL0 (EK1200)^PLC_EL_3 (EL1088), Channel 4^Input
        InputDst, GVL_Devices.GEM1_PTM_30.i_xLSpd, TIID^EMxL0 (EtherCAT)^PLC_EMxL0 (EK1200)^PLC_EL_3 (EL1088), Channel 2^Input
        InputDst, GVL_Devices.GEM1_PTM_30.i_xR1, TIID^EMxL0 (EtherCAT)^PLC_EMxL0 (EK1200)^PLC_EL_3 (EL1088), Channel 1^Input
        InputDst, GVL_Devices.GEM1_PTM_30.i_xSTART, TIID^EMxL0 (EtherCAT)^PLC_EMxL0 (EK1200)^PLC_EL_3 (EL1088), Channel 3^Input
        InputDst, GVL_Devices.GEM1_PTM_50.i_xFault, TIID^EMxL0 (EtherCAT)^PLC_EMxL0 (EK1200)^PLC_EL_3 (EL1088), Channel 8^Input
        InputDst, GVL_Devices.GEM1_PTM_50.i_xLSpd, TIID^EMxL0 (EtherCAT)^PLC_EMxL0 (EK1200)^PLC_EL_3 (EL1088), Channel 6^Input
        InputDst, GVL_Devices.GEM1_PTM_50.i_xR1, TIID^EMxL0 (EtherCAT)^PLC_EMxL0 (EK1200)^PLC_EL_3 (EL1088), Channel 5^Input
        InputDst, GVL_Devices.GEM1_PTM_50.i_xSTART, TIID^EMxL0 (EtherCAT)^PLC_EMxL0 (EK1200)^PLC_EL_3 (EL1088), Channel 7^Input
        InputDst, GVL_Devices.GEM2_PRO_10.i_xLocal, TIID^EMxL0 (EtherCAT)^L0S6_PNL_01_EB_7 (EP2338-0002), Channel 2^Input
        InputDst, GVL_Devices.GEM2_PRO_20.i_xLocal, TIID^EMxL0 (EtherCAT)^L0S6_PNL_01_EB_9 (EP2338-0002), Channel 2^Input
        InputDst, GVL_Devices.GEM2_PTM_30.i_xFault, TIID^EMxL0 (EtherCAT)^PLC_EMxL0 (EK1200)^PLC_EL_7 (EL1088), Channel 4^Input
        InputDst, GVL_Devices.GEM2_PTM_30.i_xLSpd, TIID^EMxL0 (EtherCAT)^PLC_EMxL0 (EK1200)^PLC_EL_7 (EL1088), Channel 2^Input
        InputDst, GVL_Devices.GEM2_PTM_30.i_xR1, TIID^EMxL0 (EtherCAT)^PLC_EMxL0 (EK1200)^PLC_EL_7 (EL1088), Channel 1^Input
        InputDst, GVL_Devices.GEM2_PTM_30.i_xSTART, TIID^EMxL0 (EtherCAT)^PLC_EMxL0 (EK1200)^PLC_EL_7 (EL1088), Channel 3^Input
        InputDst, GVL_Devices.GEM2_PTM_50.i_xFault, TIID^EMxL0 (EtherCAT)^PLC_EMxL0 (EK1200)^PLC_EL_7 (EL1088), Channel 8^Input
        InputDst, GVL_Devices.GEM2_PTM_50.i_xLSpd, TIID^EMxL0 (EtherCAT)^PLC_EMxL0 (EK1200)^PLC_EL_7 (EL1088), Channel 6^Input
        InputDst, GVL_Devices.GEM2_PTM_50.i_xR1, TIID^EMxL0 (EtherCAT)^PLC_EMxL0 (EK1200)^PLC_EL_7 (EL1088), Channel 5^Input
        InputDst, GVL_Devices.GEM2_PTM_50.i_xSTART, TIID^EMxL0 (EtherCAT)^PLC_EMxL0 (EK1200)^PLC_EL_7 (EL1088), Channel 7^Input
        InputDst, GVL_Devices.GEM2_PTM_60.i_iPowerMon, TIID^EMxL0 (EtherCAT)^PLC_EMxL0 (EK1200)^PLC_EL_5 (EL3064), AI Standard Channel 3^Value
        InputDst, GVL_Devices.GEM2_PTM_60.i_xLSpd, TIID^EMxL0 (EtherCAT)^PLC_EMxL0 (EK1200)^PLC_EL_8 (EL1088), Channel 2^Input
        InputDst, GVL_Devices.GEM2_PTM_60.i_xR1, TIID^EMxL0 (EtherCAT)^PLC_EMxL0 (EK1200)^PLC_EL_8 (EL1088), Channel 1^Input
        InputDst, GVL_Devices.GEM2_PTM_60.i_xSTART, TIID^EMxL0 (EtherCAT)^PLC_EMxL0 (EK1200)^PLC_EL_8 (EL1088), Channel 3^Input
        InputDst, GVL_Devices.GEM2_PTM_70.i_iPowerMon, TIID^EMxL0 (EtherCAT)^PLC_EMxL0 (EK1200)^PLC_EL_5 (EL3064), AI Standard Channel 4^Value
        InputDst, GVL_Devices.GEM2_PTM_70.i_xLSpd, TIID^EMxL0 (EtherCAT)^PLC_EMxL0 (EK1200)^PLC_EL_8 (EL1088), Channel 6^Input
        InputDst, GVL_Devices.GEM2_PTM_70.i_xR1, TIID^EMxL0 (EtherCAT)^PLC_EMxL0 (EK1200)^PLC_EL_8 (EL1088), Channel 5^Input
        InputDst, GVL_Devices.GEM2_PTM_70.i_xSTART, TIID^EMxL0 (EtherCAT)^PLC_EMxL0 (EK1200)^PLC_EL_8 (EL1088), Channel 7^Input
        OutputSrc, GVL_Devices.GEM1_PMF_20.q_xRunDo, TIID^EMxL0 (EtherCAT)^L0S3_PNL_03_EB_7 (EP2338-0002), Channel 11^Output
        OutputSrc, GVL_Devices.GEM1_PMF_30.q_xRunDo, TIID^EMxL0 (EtherCAT)^L0S3_PNL_03_EB_7 (EP2338-0002), Channel 12^Output
        OutputSrc, GVL_Devices.GEM1_PMF_50.q_xRunDo, TIID^EMxL0 (EtherCAT)^L0S3_PNL_03_EB_7 (EP2338-0002), Channel 15^Output
        OutputSrc, GVL_Devices.GEM1_PTM_30.q_RunDO, TIID^EMxL0 (EtherCAT)^PLC_EMxL0 (EK1200)^PLC_EL_1 (EL2088), Channel 3^Output
        OutputSrc, GVL_Devices.GEM1_PTM_50.q_RunDO, TIID^EMxL0 (EtherCAT)^PLC_EMxL0 (EK1200)^PLC_EL_1 (EL2088), Channel 4^Output
        OutputSrc, GVL_Devices.GEM2_PMF_30.q_xRunDo, TIID^EMxL0 (EtherCAT)^L0S6_PNL_01_EB_7 (EP2338-0002), Channel 11^Output
        OutputSrc, GVL_Devices.GEM2_PMF_50.q_xRunDo, TIID^EMxL0 (EtherCAT)^L0S6_PNL_01_EB_7 (EP2338-0002), Channel 12^Output
        OutputSrc, GVL_Devices.GEM2_PMF_60.q_xRunDo, TIID^EMxL0 (EtherCAT)^L0S6_PNL_01_EB_7 (EP2338-0002), Channel 15^Output
        OutputSrc, GVL_Devices.GEM2_PTM_30.q_RunDO, TIID^EMxL0 (EtherCAT)^PLC_EMxL0 (EK1200)^PLC_EL_6 (EL2088), Channel 1^Output
        OutputSrc, GVL_Devices.GEM2_PTM_50.q_RunDO, TIID^EMxL0 (EtherCAT)^PLC_EMxL0 (EK1200)^PLC_EL_6 (EL2088), Channel 2^Output
        TIPC^plc_lfe_gem^plc_lfe_gem Instance, PlcTask Inputs^GVL_Devices.GATT_GMP_10.i_iPRESS_R, TIID^EMxL0 (EtherCAT)^L0S6_PNL_04_EB_2 (EP3174-0002), AI Standard Channel 2^Value
        TIPC^plc_lfe_gem^plc_lfe_gem Instance, PlcTask Inputs^GVL_Devices.GATT_GMP_11.i_iPRESS_R, TIID^EMxL0 (EtherCAT)^L0S6_PNL_04_EB_3 (EP4374-0002), AI Inputs Channel 1^Value
        TIPC^plc_lfe_gem^plc_lfe_gem Instance, PlcTask Inputs^GVL_Devices.GATT_GPI_10.i_iPRESS_R, TIID^EMxL0 (EtherCAT)^DRL_MKS (EK1100)^MKS_E7 (EL3064), AI Standard Channel 2^Value
        TIPC^plc_lfe_gem^plc_lfe_gem Instance, PlcTask Inputs^GVL_Devices.GATT_VRC_10.i_xClsLS, TIID^EMxL0 (EtherCAT)^L0S6_PNL_04_EB_1 (EP2338-0002), Channel 2^Input
        TIPC^plc_lfe_gem^plc_lfe_gem Instance, PlcTask Inputs^GVL_Devices.GATT_VRC_10.i_xOpnLS, TIID^EMxL0 (EtherCAT)^L0S6_PNL_04_EB_1 (EP2338-0002), Channel 1^Input
        TIPC^plc_lfe_gem^plc_lfe_gem Instance, PlcTask Inputs^GVL_Devices.GEM1_GCC_10.i_iPRESS_R, TIID^EMxL0 (EtherCAT)^DRL_MKS (EK1100)^MKS_E1 (EL3064), AI Standard Channel 1^Value
        TIPC^plc_lfe_gem^plc_lfe_gem Instance, PlcTask Inputs^GVL_Devices.GEM1_GCC_20.i_iPRESS_R, TIID^EMxL0 (EtherCAT)^DRL_MKS (EK1100)^MKS_E1 (EL3064), AI Standard Channel 3^Value
        TIPC^plc_lfe_gem^plc_lfe_gem Instance, PlcTask Inputs^GVL_Devices.GEM1_GCC_30.i_iPRESS_R, TIID^EMxL0 (EtherCAT)^DRL_MKS (EK1100)^MKS_E4 (EL3064), AI Standard Channel 1^Value
        TIPC^plc_lfe_gem^plc_lfe_gem Instance, PlcTask Inputs^GVL_Devices.GEM1_GCC_50.i_iPRESS_R, TIID^EMxL0 (EtherCAT)^DRL_MKS (EK1100)^MKS_E4 (EL3064), AI Standard Channel 3^Value
        TIPC^plc_lfe_gem^plc_lfe_gem Instance, PlcTask Inputs^GVL_Devices.GEM1_GCM_41.i_iPRESS_R, TIID^EMxL0 (EtherCAT)^L0S3_PNL_02_EB_4 (EP3174-0002), AI Standard Channel 1^Value
        TIPC^plc_lfe_gem^plc_lfe_gem Instance, PlcTask Inputs^GVL_Devices.GEM1_GCM_42.i_iPRESS_R, TIID^EMxL0 (EtherCAT)^L0S3_PNL_02_EB_4 (EP3174-0002), AI Standard Channel 2^Value
        TIPC^plc_lfe_gem^plc_lfe_gem Instance, PlcTask Inputs^GVL_Devices.GEM1_GPI_10.i_iPRESS_R, TIID^EMxL0 (EtherCAT)^DRL_MKS (EK1100)^MKS_E1 (EL3064), AI Standard Channel 4^Value
        TIPC^plc_lfe_gem^plc_lfe_gem Instance, PlcTask Inputs^GVL_Devices.GEM1_GPI_11.i_iPRESS_R, TIID^EMxL0 (EtherCAT)^L0S3_PNL_01_EB_5 (EP3174-0002), AI Standard Channel 3^Value
        TIPC^plc_lfe_gem^plc_lfe_gem Instance, PlcTask Inputs^GVL_Devices.GEM1_GPI_20.i_iPRESS_R, TIID^EMxL0 (EtherCAT)^DRL_MKS (EK1100)^MKS_E2 (EL3064), AI Standard Channel 1^Value
        TIPC^plc_lfe_gem^plc_lfe_gem Instance, PlcTask Inputs^GVL_Devices.GEM1_GPI_30.i_iPRESS_R, TIID^EMxL0 (EtherCAT)^DRL_MKS (EK1100)^MKS_E4 (EL3064), AI Standard Channel 4^Value
        TIPC^plc_lfe_gem^plc_lfe_gem Instance, PlcTask Inputs^GVL_Devices.GEM1_GPI_31.i_iPRESS_R, TIID^EMxL0 (EtherCAT)^L0S3_PNL_01_EB_5 (EP3174-0002), AI Standard Channel 4^Value
        TIPC^plc_lfe_gem^plc_lfe_gem Instance, PlcTask Inputs^GVL_Devices.GEM1_GPI_50.i_iPRESS_R, TIID^EMxL0 (EtherCAT)^DRL_MKS (EK1100)^MKS_E5 (EL3064), AI Standard Channel 1^Value
        TIPC^plc_lfe_gem^plc_lfe_gem Instance, PlcTask Inputs^GVL_Devices.GEM1_GPI_51.i_iPRESS_R, TIID^EMxL0 (EtherCAT)^L0S3_PNL_03_EB_4 (EP3174-0002), AI Standard Channel 3^Value
        TIPC^plc_lfe_gem^plc_lfe_gem Instance, PlcTask Inputs^GVL_Devices.GEM1_GPI_60.i_iPRESS_R, TIID^EMxL0 (EtherCAT)^DRL_MKS (EK1100)^MKS_E14 (EL3064), AI Standard Channel 1^Value
        TIPC^plc_lfe_gem^plc_lfe_gem Instance, PlcTask Inputs^GVL_Devices.GEM1_GPI_61.i_iPRESS_R, TIID^EMxL0 (EtherCAT)^L0S3_PNL_03_EB_5 (EP3174-0002), AI Standard Channel 2^Value
        TIPC^plc_lfe_gem^plc_lfe_gem Instance, PlcTask Inputs^GVL_Devices.GEM1_GPI_71.i_iPRESS_R, TIID^EMxL0 (EtherCAT)^L0S3_PNL_03_EB_5 (EP3174-0002), AI Standard Channel 3^Value
        TIPC^plc_lfe_gem^plc_lfe_gem Instance, PlcTask Inputs^GVL_Devices.GEM1_PRO_60.i_xAlarm, TIID^EMxL0 (EtherCAT)^L0S3_PNL_03_EB_7 (EP2338-0002), Channel 6^Input
        TIPC^plc_lfe_gem^plc_lfe_gem Instance, PlcTask Inputs^GVL_Devices.GEM1_PRO_60.i_xIsRun, TIID^EMxL0 (EtherCAT)^L0S3_PNL_03_EB_7 (EP2338-0002), Channel 1^Input
        TIPC^plc_lfe_gem^plc_lfe_gem Instance, PlcTask Inputs^GVL_Devices.GEM1_PRO_60.i_xWarning, TIID^EMxL0 (EtherCAT)^L0S3_PNL_03_EB_7 (EP2338-0002), Channel 5^Input
        TIPC^plc_lfe_gem^plc_lfe_gem Instance, PlcTask Inputs^GVL_Devices.GEM1_PRO_70.i_xAlarm, TIID^EMxL0 (EtherCAT)^L0S3_PNL_03_EB_9 (EP2338-0002), Channel 6^Input
        TIPC^plc_lfe_gem^plc_lfe_gem Instance, PlcTask Inputs^GVL_Devices.GEM1_PRO_70.i_xIsRun, TIID^EMxL0 (EtherCAT)^L0S3_PNL_03_EB_9 (EP2338-0002), Channel 1^Input
        TIPC^plc_lfe_gem^plc_lfe_gem Instance, PlcTask Inputs^GVL_Devices.GEM1_PRO_70.i_xWarning, TIID^EMxL0 (EtherCAT)^L0S3_PNL_03_EB_9 (EP2338-0002), Channel 5^Input
        TIPC^plc_lfe_gem^plc_lfe_gem Instance, PlcTask Inputs^GVL_Devices.GEM1_PTM_10.i_xAtSpd, TIID^EMxL0 (EtherCAT)^DRL_PTM (EK1100)^PTM_E21_EL1088, Channel 1^Input
        TIPC^plc_lfe_gem^plc_lfe_gem Instance, PlcTask Inputs^GVL_Devices.GEM1_PTM_10.i_xFault, TIID^EMxL0 (EtherCAT)^DRL_PTM (EK1100)^PTM_E21_EL1088, Channel 2^Input
